input_width,input_height,input_bytes,compression_time,entropy,out_width,out_height,scale,out_bytes,decompression_time,compression_ratio
521,341,59638,10,6.105421519611087,156,102,0.30000000000000004,46043,16,1.295267467367461
521,341,72014,14,6.435180021475898,208,136,0.4,58550,21,1.2299573014517506
521,341,87926,17,6.656445945527373,260,170,0.5,73809,26,1.1912639380021406
521,341,107374,21,6.803295586789639,312,204,0.6000000000000001,92033,33,1.1666902089467908
521,341,130358,27,6.895642634158574,364,238,0.7000000000000001,113211,41,1.1514605471199795
521,341,156878,33,6.953829942136144,416,272,0.8,137243,50,1.1430674059879193
521,341,186934,40,6.988572819262897,468,306,0.9,164265,60,1.138002617721365
521,341,221387,45,6.948224242281994,521,341,1.0,193487,70,1.1441957340803257
521,341,754370,169,6.989345059389121,1042,682,2,662874,248,1.1380292483941141
521,341,1642675,374,6.97350880942051,1563,1023,3,1439596,546,1.1410666603686035
521,341,2886302,656,6.954300394941124,2084,1364,4,2522590,957,1.1441819717036854
521,341,4485251,1018,6.941048221217276,2605,1705,5,3912324,1485,1.146441603507276
528,341,45494,6,5.228484700675999,52,34,0.1,30077,10,1.5125843667919008
528,341,50866,8,5.5638732231560555,105,68,0.2,35800,12,1.4208379888268157
528,341,59842,10,5.879383947973688,158,102,0.30000000000000004,44482,15,1.3453082145586979
528,341,72422,13,6.111430396231928,211,136,0.4,55881,19,1.296004008518101
528,341,88606,17,6.273490643165138,264,170,0.5,70097,25,1.2640483900880208
528,341,108190,21,6.365257311158318,316,204,0.6000000000000001,86864,31,1.2455102228771413
528,341,131548,26,6.420460977339307,369,238,0.7000000000000001,106524,38,1.2349141977394766
528,341,158510,33,6.445082954485062,422,272,0.8,128642,46,1.2321792260692463
528,341,189076,39,6.463032319628044,475,306,0.9,153722,56,1.2299865991855428
528,341,223774,43,6.452580755440265,528,341,1.0,181575,64,1.232405342145119
528,341,763918,172,6.421927148499849,1056,682,2,616498,230,1.2391248633410004
528,341,1664158,386,6.380231098207364,1584,1023,3,1334543,502,1.2469871708892108
528,341,2924494,681,6.36459388334774,2112,1364,4,2339429,882,1.250088803720908
528,341,4544926,1060,6.352686270016607,2640,1705,5,3628753,1380,1.2524759883078291
528,341,45494,6,5.223179087798533,52,34,0.1,30022,9,1.5153554060355738
528,341,50866,8,5.564530145176795,105,68,0.2,35822,12,1.4199653844006477
528,341,59842,10,5.890957807366807,158,102,0.30000000000000004,44581,15,1.3423207195890625
528,341,72422,13,6.16127404609,211,136,0.4,56349,20,1.285240199471153
528,341,88606,16,6.333979917981118,264,170,0.5,70737,25,1.2526117873248794
528,341,108190,21,6.463638316718856,316,204,0.6000000000000001,88176,32,1.2269778624569043
528,341,131548,27,6.537242589509191,369,238,0.7000000000000001,108483,39,1.212613957947328
528,341,158510,33,6.577439775768837,422,272,0.8,131324,48,1.2070147117054004
528,341,189076,39,6.605156131390121,475,306,0.9,157188,57,1.2028653586787796
528,341,223774,43,6.6007420889459265,528,341,1.0,185839,67,1.2041283046077518
528,341,763918,167,6.623174528773715,1056,682,2,634857,237,1.2032914498855647
528,341,1664158,367,6.592674808807778,1584,1023,3,1375878,519,1.209524390970711
528,341,2924494,660,6.5839207605344825,2112,1364,4,2414253,1000,1.2113452898267083
528,341,4544926,1063,6.57397061236938,2640,1705,5,3746007,1527,1.2132721588614224
527,341,45494,6,5.205090916354103,52,34,0.1,29915,10,1.5207755306702324
527,341,50866,8,5.513996980967016,105,68,0.2,35464,13,1.4342995713963456
527,341,59842,9,5.8158906908826955,158,102,0.30000000000000004,43979,16,1.3606948771004344
527,341,72286,13,6.046456692016047,210,136,0.4,55190,21,1.3097662620039863
527,341,88436,17,6.203444813041747,263,170,0.5,69163,26,1.2786605554993278
527,341,108190,22,6.306396329366945,316,204,0.6000000000000001,86014,34,1.2578184946636595
527,341,131310,28,6.369045446494577,368,238,0.7000000000000001,105450,43,1.2452347083926032
527,341,158238,34,6.403088133499404,421,272,0.8,127604,51,1.240070844174164
527,341,188770,41,6.420986831095997,474,306,0.9,152521,61,1.237665632929236
527,341,223433,45,6.4058683127153975,527,341,1.0,180146,71,1.2402884327156862
527,341,762554,179,6.396899814136628,1054,682,2,613547,252,1.2428615900656348
527,341,1661089,396,6.362160956951751,1581,1023,3,1329191,546,1.2496992531547384
527,341,2919038,701,6.351205443303903,2108,1364,4,2331551,976,1.2519726139381038
527,341,4536401,1096,6.339135851990505,2635,1705,5,3616359,1485,1.2544111356201084
527,341,45493,6,5.215332858386761,52,34,0.1,29986,10,1.5171413326218903
527,341,50865,7,5.5319778312899714,105,68,0.2,35587,12,1.4293140753645994
527,341,59841,10,5.85651946547817,158,102,0.30000000000000004,44325,16,1.3500507614213197
527,341,72285,13,6.095721040546085,210,136,0.4,55676,20,1.2983152525325095
527,341,88435,17,6.264012322109168,263,170,0.5,69870,26,1.2657077429511951
527,341,108189,21,6.386431084292336,316,204,0.6000000000000001,87102,33,1.2420954742715438
527,341,131309,27,6.466938733791029,368,238,0.7000000000000001,106999,41,1.227198385031636
527,341,158237,33,6.515324128059638,421,272,0.8,129784,50,1.219233495654318
527,341,188769,38,6.5440461470542015,474,306,0.9,155398,59,1.214745363518192
527,341,223432,44,6.536479496564017,527,341,1.0,183814,68,1.2155330932355533
527,341,762553,167,6.586347665250096,1054,682,2,631647,251,1.207245502630425
527,341,1661088,375,6.568068684548534,1581,1023,3,1372359,538,1.2103888268302974
527,341,2919037,659,6.565574182382656,2108,1364,4,2410737,955,1.2108483837100439
527,341,4536400,1034,6.556976032765948,2635,1705,5,3742037,1461,1.2122809047585579
527,341,49627,6,5.181610667768894,52,34,0.1,32480,10,1.5279248768472906
527,341,54999,8,5.450815281425405,105,68,0.2,37883,13,1.4518121584879762
527,341,63975,10,5.724353165085171,158,102,0.30000000000000004,46279,16,1.3823764558439033
527,341,76419,13,5.927423639971346,210,136,0.4,57262,20,1.3345499633264644
527,341,92569,17,6.066877276848526,263,170,0.5,70861,25,1.3063462271207011
527,341,112323,21,6.157502071248937,316,204,0.6000000000000001,87224,32,1.2877533706319362
527,341,135443,27,6.198045300449285,368,238,0.7000000000000001,105850,41,1.279574870099197
527,341,162371,33,6.220679115155796,421,272,0.8,127221,49,1.276290863929697
527,341,192903,39,6.224991534157546,474,306,0.9,151201,58,1.275805054199377
527,341,227566,45,6.199577012811492,527,341,1.0,177608,68,1.2812823746678077
527,341,766687,173,6.178100978889439,1054,682,2,595857,239,1.2866963046502768
527,341,1665222,371,6.146227719110736,1581,1023,3,1287299,499,1.2935782595962555
527,341,2923171,673,6.130270457115374,2108,1364,4,2253702,938,1.297053026531458
527,341,4540534,1066,6.1163407933101395,2635,1705,5,3492589,1360,1.300048187748401
519,396,22220,3,5.433708434746211,51,39,0.1,15347,5,1.447839968723529
519,396,28368,4,5.887135427041177,103,79,0.2,21225,7,1.3365371024734982
519,396,38521,6,6.183461357674513,155,118,0.30000000000000004,30179,10,1.276417376321283
519,396,52937,9,6.299335444343923,207,158,0.4,42141,15,1.2561875608077644
519,396,71513,14,6.380803521820206,259,198,0.5,57612,21,1.2412865375269042
519,396,93938,19,6.391725781590159,311,237,0.6000000000000001,75731,28,1.2404167381917577
519,396,120782,24,6.418733156371534,363,277,0.7000000000000001,97686,36,1.236431013656
519,396,151371,31,6.38993672838648,415,316,0.8,121772,45,1.2430690142233025
519,396,186483,41,6.401003619511957,467,356,0.9,150226,58,1.2413496997856563
519,396,225755,45,6.350234651259317,519,396,1.0,180303,66,1.2520867650565992
519,396,842327,180,6.3468802486105815,1038,792,2,671048,254,1.2552410557814047
519,396,1869947,406,6.33146032381518,1557,1188,3,1485813,568,1.258534553136902
519,396,3308615,723,6.3310552550520125,2076,1584,4,2628381,1004,1.2588034230958145
519,396,5158331,1137,6.324208199895216,2595,1980,5,4093008,1574,1.260278748538972
519,341,49592,6,5.227195425215269,51,34,0.1,32747,11,1.5143982654899686
519,341,54862,8,5.5666514812012124,103,68,0.2,38610,13,1.420927220927221
519,341,63668,10,5.912543320915333,155,102,0.30000000000000004,47570,16,1.3384065587555183
519,341,76010,13,6.179041052083268,207,136,0.4,59314,21,1.2814849782513402
519,341,91888,16,6.380301129064428,259,170,0.5,73897,26,1.2434604923068595
519,341,111302,20,6.497517843926937,311,204,0.6000000000000001,91107,32,1.2216624408662342
519,341,134252,25,6.589043411468692,363,238,0.7000000000000001,111424,40,1.2048750717978174
519,341,160738,30,6.630507177813761,415,272,0.8,134230,48,1.1974819339938911
519,341,190760,36,6.677553354119177,467,306,0.9,160359,57,1.1895808779052002
519,341,224837,42,6.675047869372913,519,341,1.0,188919,67,1.190123809675046
519,341,755774,151,6.689992073384708,1038,682,2,635521,234,1.1892195537204908
519,341,1640669,335,6.663942604794259,1557,1023,3,1373697,507,1.1943456235254208
519,341,2879522,592,6.650539153973421,2076,1364,4,2405719,894,1.1969486045543973
519,341,4472333,929,6.640876623039757,2595,1705,5,3730906,1390,1.198725725065172
519,341,49592,6,5.24441902739449,51,34,0.1,32862,11,1.5090986549814376
519,341,54862,9,5.615493841319073,103,68,0.2,38973,13,1.407692505067611
519,341,63668,11,5.968198746848718,155,102,0.30000000000000004,48015,17,1.3260022909507445
519,341,76010,15,6.264435218789186,207,136,0.4,60193,22,1.2627714186034922
519,341,91888,18,6.46235440598883,259,170,0.5,74863,27,1.227415412152866
519,341,111302,23,6.612041889305646,311,204,0.6000000000000001,92741,34,1.2001380187834938
519,341,134252,28,6.699985814413519,363,238,0.7000000000000001,113367,41,1.1842246861961594
519,341,160738,34,6.758235116907403,415,272,0.8,136860,51,1.174470261581178
519,341,190760,42,6.791961979503487,467,306,0.9,163139,61,1.1693096071448275
519,341,224837,45,6.789694790534418,519,341,1.0,191971,70,1.171202942111048
519,341,755774,174,6.829053699781191,1038,682,2,648017,249,1.1662873041910937
519,341,1640669,382,6.8053309807163815,1557,1023,3,1400525,541,1.1714671283982792
519,341,2879522,671,6.799413286720201,2076,1364,4,2455281,946,1.1727871473774285
519,341,4472333,1038,6.790251172717691,2595,1705,5,3807930,1478,1.1744787850617002
520,341,49628,6,5.225160592892382,52,34,0.1,32749,10,1.5154050505358942
520,341,54932,8,5.560107900264072,104,68,0.2,38607,13,1.4228507783562567
520,341,63772,10,5.885488868585689,156,102,0.30000000000000004,47412,16,1.345060322281279
520,341,76148,13,6.132309909705825,208,136,0.4,58940,20,1.2919579233118426
520,341,92060,17,6.303737509727377,260,170,0.5,73123,26,1.2589746044336256
520,341,111508,20,6.4119398359349855,312,204,0.6000000000000001,90106,32,1.2375202539231571
520,341,134492,27,6.491710127836285,364,238,0.7000000000000001,110167,40,1.2208011473490246
520,341,161012,32,6.523053987543539,416,272,0.8,132341,48,1.2166448795157963
520,341,191068,41,6.555178405780595,468,306,0.9,157560,58,1.2126681898959126
520,341,225180,43,6.537360324301022,520,341,1.0,185078,66,1.2166762121916166
520,341,757140,170,6.520506518617274,1040,682,2,619043,234,1.2230814337614673
520,341,1643740,378,6.473032146363054,1560,1023,3,1333749,510,1.232420792817839
520,341,2884980,657,6.45948047210803,2080,1364,4,2336041,891,1.2349868859322246
520,341,4480860,1033,6.444070681441341,2600,1705,5,3619568,1393,1.2379543636146635
520,341,21999,3,5.506945426503553,52,34,0.1,15410,5,1.427579493835172
520,341,27303,4,6.05935852939472,104,68,0.2,21054,7,1.2968082074665146
520,341,36143,6,6.422922645953181,156,102,0.30000000000000004,29439,10,1.2277251265328306
520,341,48519,8,6.620753649883682,208,136,0.4,40638,14,1.193931787981692
520,341,64431,12,6.701705537411196,260,170,0.5,54586,19,1.1803576008500347
520,341,83879,16,6.752254064186667,312,204,0.6000000000000001,71523,26,1.172755617074228
520,341,106863,21,6.763846159694898,364,238,0.7000000000000001,91136,33,1.1725662745786516
520,341,133383,27,6.76688455134213,416,272,0.8,113665,42,1.1734746843795363
520,341,163439,34,6.766923495392599,468,306,0.9,139161,51,1.1744597983630471
520,341,197551,36,6.71491026781408,520,341,1.0,166726,60,1.1848841812314816
520,341,729511,164,6.68518182849729,1040,682,2,611865,234,1.1922744396231195
520,341,1616111,368,6.649313441153473,1560,1023,3,1347425,518,1.1994070170881497
520,341,2857351,873,6.643460801328338,2080,1364,4,2379934,1082,1.2006009410344993
520,341,4453231,1042,6.632574300254304,2600,1705,5,3702472,1434,1.2027723639773644
520,341,20376,3,5.517022009273278,52,34,0.1,14337,4,1.421217827997489
520,341,25680,4,6.109309181778411,104,68,0.2,20005,7,1.2836790802299425
520,341,34520,6,6.480085263148869,156,102,0.30000000000000004,28376,10,1.216521003665069
520,341,46896,9,6.7014376434136755,208,136,0.4,39824,14,1.1775813579750904
520,341,62808,13,6.806268257320352,260,170,0.5,54003,19,1.1630464974168102
520,341,82256,16,6.851038892638756,312,204,0.6000000000000001,71035,26,1.1579643837544873
520,341,105240,21,6.865738848595084,364,238,0.7000000000000001,90996,34,1.1565343531583805
520,341,131760,27,6.858329804502118,416,272,0.8,113691,42,1.1589307860780538
520,341,161816,34,6.857411057556246,468,306,0.9,139515,52,1.1598466114754686
520,341,195928,39,6.825437556558705,520,341,1.0,168101,61,1.1655373852624316
520,341,727888,161,6.781947975706692,1040,682,2,619746,236,1.1744940669241914
520,341,1614488,361,6.749404141499648,1560,1023,3,1367681,527,1.1804565538309006
520,341,2855728,646,6.741079871507654,2080,1364,4,2415910,939,1.1820506558605246
520,341,4451608,1007,6.732285053103039,2600,1705,5,3761111,1452,1.1835885726318633
